time,utterance
20230124-141537,hold on a second buddy
20230124-141541,wait a minute
20230124-141543,just be patient
20230124-141548,just wait a second
20230124-141552,hold on now
20230124-141559,have a great time in barbados
20230124-141732,no thanks
20230124-141736,yes please
20230124-141842,yes please
20230124-142131,go to the kitchen
20230124-142244,yes thank you
20230124-142344,no thanks
20230124-142522,yes please
20230124-142613,yes please
20230124-142719,yes thanks
20230124-142741,go to the kitchen
20230124-142827,open your gripper
20230124-143151,pick up the bottle please
20230124-143249,pick up the bottle please
20230124-143453,open your gripper
